Ticker,Sector,Industry,Market_Cap,Volume
MUR,Energy,Oil & Gas E&P,4071936768,2105630
FLR,Industrials,Engineering & Construction,7706213888,2280777
CZR,Consumer Cyclical,Resorts & Casinos,8259097600,4211293
H,Consumer Cyclical,Lodging,14169806848,527876
FUN,Consumer Cyclical,Leisure,4295534080,1165315
CP,Industrials,Railroads,73074384896,3222338
CNI,Industrials,Railroads,64344625152,1335789
WEN,Consumer Cyclical,Restaurants,3008589824,3939308
MNR,Energy,Oil & Gas E&P,1876335872,276859
WPC,Real Estate,REIT - Diversified,12883640320,1101669
TRP,Energy,Oil & Gas Midstream,49201201152,2170315
TDC,Technology,Software - Infrastructure,2376230912,834781
OC,Industrials,Building Products & Equipment,15273036800,807950
RCL,Consumer Cyclical,Travel Services,69938200576,2051796
CNQ,Energy,Oil & Gas E&P,64239149056,5170113
MAS,Industrials,Building Products & Equipment,16454121472,1428918
FMC,Basic Materials,Agricultural Inputs,4582729216,2255918
DCI,Industrials,Specialty Industrial Machinery,8370498048,600262
CTAS,Industrials,Specialty Business Services,83126034432,1929152
CCJ,Energy,Uranium,21359077376,4133669
TRGP,Energy,Oil & Gas Midstream,44576440320,1634874
EQT,Energy,Oil & Gas E&P,31546683392,7756513
CC,Basic Materials,Specialty Chemicals,2658021888,1667832
GNTX,Consumer Cyclical,Auto Parts,5540243456,1585857
CRUS,Technology,Semiconductors,5683846656,700279
MSM,Industrials,Industrial Distribution,4579329024,633420
CR,Industrials,Specialty Industrial Machinery,9650476032,269577
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",16061312000,1051349
SF,Financial Services,Capital Markets,11114161152,656876
NFG,Energy,Oil & Gas Integrated,6538774528,572750
MOD,Consumer Cyclical,Auto Parts,4890959360,927084
IVR,Real Estate,REIT - Mortgage,523495168,1298555
FLS,Industrials,Specialty Industrial Machinery,8241216512,1194006
CRC,Energy,Oil & Gas E&P,4229656320,678435
CE,Basic Materials,Chemicals,7138074112,2505188
SNX,Technology,Electronics & Computer Distribution,11986695168,648925
JKS,Technology,Solar,1069555648,920864
TWO,Real Estate,REIT - Mortgage,1388275200,1259996
TRNO,Real Estate,REIT - Industrial,6683563008,1315764
SNV,Financial Services,Banks - Regional,7689312256,1249298
OSK,Industrials,Farm & Heavy Construction Machinery,7060853760,657794
OLN,Basic Materials,Chemicals,3224559104,1783122
OLED,Technology,Electronic Components,6820678144,665283
MTW,Industrials,Farm & Heavy Construction Machinery,382962752,275274
MTRN,Basic Materials,Other Industrial Metals & Mining,2057283840,91596
FHN,Financial Services,Banks - Regional,11522759680,5810191
CASY,Consumer Cyclical,Specialty Retail,16109429760,249398
TK,Energy,Oil & Gas Midstream,628758080,838601
SM,Energy,Oil & Gas E&P,4458869760,1327154
MAC,Real Estate,REIT - Retail,5357021696,2121022
CRK,Energy,Oil & Gas E&P,5310382080,2280096
CMC,Basic Materials,Steel,5850290176,1005406
KRC,Real Estate,REIT - Office,4219574016,1256566
KIM,Real Estate,REIT - Retail,15247846400,4145952
ITT,Industrials,Specialty Industrial Machinery,12043129856,352694
HNI,Industrials,Business Equipment & Supplies,2371078400,328716
CUK,Consumer Cyclical,Leisure,30379567104,1439008
ZBRA,Technology,Communication Equipment,16658103296,409247
NAVI,Financial Services,Credit Services,1403669632,948350
LKQ,Consumer Cyclical,Auto Parts,10034455552,2144410
DENN,Consumer Cyclical,Restaurants,275637248,902754
CSV,Consumer Cyclical,Personal Services,642414848,112864
CSL,Industrials,Building Products & Equipment,16345548800,379871
CMA,Financial Services,Banks - Regional,8772865024,2402571
